class_name,precision,recall,f1-score,support
a,0.913,0.913,0.913,23
aa,0.8636,0.76,0.8085,25
ah,1.0,1.0,1.0,7
ai,1.0,1.0,1.0,15
am,1.0,1.0,1.0,14
au,0.9231,0.8571,0.8889,14
ba,0.8,0.7059,0.75,17
bha,1.0,0.9412,0.9697,17
ca,0.8889,0.8889,0.8889,18
cha,1.0,0.9444,0.9714,18
da,0.7895,0.7895,0.7895,19
dda,0.7895,0.8333,0.8108,18
ddha,1.0,1.0,1.0,18
dha,0.8889,0.9412,0.9143,17
e,0.875,0.875,0.875,16
eight,0.8667,0.7647,0.8125,17
five,1.0,0.7222,0.8387,18
four,0.8095,1.0,0.8947,17
ga,0.9,1.0,0.9474,18
gha,1.0,0.9444,0.9714,18
gyan,0.9286,0.7647,0.8387,17
ha,0.875,0.8235,0.8485,17
i,0.9444,1.0,0.9714,17
ii,1.0,0.9412,0.9697,17
ja,0.7619,0.8889,0.8205,18
jha,1.0,0.8889,0.9412,18
ka,1.0,0.9474,0.973,19
kha,0.9444,1.0,0.9714,17
ksa,0.8333,0.8824,0.8571,17
la,1.0,0.9412,0.9697,17
lu,0.8,1.0,0.8889,4
luu,1.0,0.6667,0.8,3
ma,0.9444,0.9444,0.9444,18
na,0.9444,1.0,0.9714,17
nine,0.9333,0.7778,0.8485,18
nna,1.0,1.0,1.0,18
nnna,0.9474,1.0,0.973,18
nya,0.9375,0.8333,0.8824,18
o,0.6818,0.9375,0.7895,16
one,0.9412,0.9412,0.9412,17
pa,0.9333,0.8235,0.875,17
pha,0.9412,0.8889,0.9143,18
ra,0.9,1.0,0.9474,18
ri,0.8182,0.9,0.8571,10
rii,0.8,0.6667,0.7273,6
sa,0.8824,0.9375,0.9091,16
saa,1.0,0.8824,0.9375,17
seven,0.8,0.8889,0.8421,18
sha,1.0,1.0,1.0,17
six,0.8182,1.0,0.9,18
ta,0.9,1.0,0.9474,18
tha,1.0,0.9412,0.9697,17
three,0.8182,0.5,0.6207,18
tra,1.0,0.8824,0.9375,17
tta,0.8889,0.9412,0.9143,17
ttha,0.9091,1.0,0.9524,10
two,0.6154,0.8889,0.7273,18
u,0.7,0.7778,0.7368,18
uu,1.0,0.8667,0.9286,15
wo,0.7,0.8235,0.7568,17
ya,0.9375,0.8824,0.9091,17
zero,1.0,1.0,1.0,18
macro avg,0.9046,0.896,0.8961,1020
weighted avg,0.9045,0.8971,0.8969,1020
